espnGameLink,espnGameId,team1,team1Score,team2,team2Score,team1Fouls,team1Yellows,team1Reds,team1Offsides,team1Corners,team1Saves,team1Possession,team1Shots,team1OnGoal,team2Fouls,team2Yellows,team2Reds,team2Offsides,team2Corners,team2Saves,team2Possession,team2Shots,team2OnGoal
"http://www.espn.com/soccer/matchstats?gameId=433493","433493","Guatemala","2","Antigua and Barbuda","0","",0,0,"","","","","","","",2,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=418777","418777","Cuba","1","Curacao","1","",0,1,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417171","417171","Nicaragua","5","Anguilla","0","",0,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=435534","435534","El Salvador","2","Honduras","2","",2,0,"","","","","","","",2,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=433500","433500","Canada","3","Belize","0","7","1","0","1","6","7","76%","23 ","9","7","0","0","0","0","0","24%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=418784","418784","Aruba","0","Barbados","2","",1,0,"","","","","","","",1,1,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=433497","433497","Nicaragua","0","Jamaica","2","",1,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=418786","418786","Guatemala","0","Bermuda","0","",1,0,"","","","","","","",3,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417156","417156","Guyana","4","St. Vincent and the Grenadines","4","",1,0,"","","","","","","",3,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=418785","418785","Dominican Republic","1","Belize","2","",0,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417165","417165","Curacao","2","Montserrat","1","",1,0,"","","","","","","",2,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=418779","418779","Belize","3","Dominican Republic","0","",0,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417158","417158","St. Vincent and the Grenadines","2","Guyana","2","",0,0,"","","","","","","",2,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417166","417166","British Virgin Islands","2","Dominica","3","",0,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=418781","418781","Suriname","1","Nicaragua","3","",3,1,"","","","","","","",0,0,"","","","","",""
